     LON     LAT   DEPTH     MAG    PHUSD   NO_ST   MIND     GAP     RMS     SEH     SEZ  YYYY MM DD HH MN SEC
  56.268  27.487    13.5     2.8      99      99    99.0     360   0.205     5.8     3.7  2021 10 14 14 17 47.25
  56.078  27.572    18.1     6.2      99      99    99.0     360   0.329     4.2     2.8  2021 11 14 12 07 04.07
  56.176  27.545     9.3     6.3      99      99    99.0     360   0.451     3.4     2.3  2021 11 14 12 08 37.95
  56.218  27.444    27.3     4.2      99      99    99.0     360   0.364    28.7    15.7  2021 11 14 12 40 52.10
  56.108  27.515    15.2     4.0      99      99    99.0     360   0.369     6.2     4.3  2021 11 14 12 52 37.81
  56.139  27.561    20.8     4.0      99      99    99.0     360   0.212     4.6     3.6  2021 11 14 13 13 15.83
  56.137  27.591    18.4     4.6      99      99    99.0     360   0.300     2.9     3.0  2021 11 14 14 02 56.18
  56.205  27.507    13.6     3.6      99      99    99.0     360   0.259     2.6     2.1  2021 11 14 14 13 57.10
  56.177  27.570    13.3     3.8      99      99    99.0     360   0.253     3.0     2.1  2021 11 14 14 24 14.31
  56.250  27.587    14.3     4.3      99      99    99.0     360   0.357     3.4     2.4  2021 11 14 15 12 07.73
  56.119  27.549    13.3     4.3      99      99    99.0     360   0.419     4.2     3.8  2021 11 14 15 22 18.66
  56.118  27.518    16.0     4.0      99      99    99.0     360   0.308     3.8     3.1  2021 11 14 15 59 11.42
  56.174  27.544    17.3     3.5      99      99    99.0     360   0.769     9.8     6.6  2021 11 14 16 10 09.00
  56.181  27.522    17.6     4.4      99      99    99.0     360   0.357     3.3     2.4  2021 11 14 16 19 57.14
  56.243  27.526    17.1     3.3      99      99    99.0     360   0.209     2.9     1.9  2021 11 14 16 34 12.88
  56.233  27.622    17.8     3.4      99      99    99.0     360   0.331     3.3     2.5  2021 11 14 17 01 17.76
  56.244  27.522    15.5     2.8      99      99    99.0     360   0.320     8.0     6.8  2021 11 14 17 31 54.50
  56.215  27.574    12.0     3.4      99      99    99.0     360   0.244     3.5     2.8  2021 11 14 17 40 57.03
  56.174  27.550    13.8     3.5      99      99    99.0     360   0.361     3.7     3.3  2021 11 14 17 50 23.16
  56.186  27.591    12.3     3.7      99      99    99.0     360   0.299     2.9     2.4  2021 11 14 17 58 13.03
  56.090  27.531    10.2     3.5      99      99    99.0     360   0.389     9.6     8.7  2021 11 14 18 01 12.35
  56.167  27.583    22.6     3.6      99      99    99.0     360   0.267     3.8     3.6  2021 11 14 18 18 38.43
  56.252  27.602    13.0     3.3      99      99    99.0     360   0.367     3.8     2.6  2021 11 14 18 38 16.64
  56.112  27.535    14.9     2.8      99      99    99.0     360   0.178     3.9     3.1  2021 11 14 18 46 39.03
  56.222  27.565    24.4     2.7      99      99    99.0     360   0.693     4.8     2.6  2021 11 14 18 57 21.67
  56.254  27.545    10.4     3.5      99      99    99.0     360   0.371     7.1     4.1  2021 11 14 19 07 05.62
  56.298  27.590    15.0     2.9      99      99    99.0     360   0.380     4.1     3.4  2021 11 14 19 10 04.36
  56.143  27.539    23.9     2.7      99      99    99.0     360   0.494     5.0     4.8  2021 11 14 19 18 31.35
  56.031  27.463    14.2     2.9      99      99    99.0     360   0.207     3.3     2.6  2021 11 14 19 30 08.43
  56.105  27.539    17.7     3.5      99      99    99.0     360   0.434     4.2     3.4  2021 11 14 20 09 49.03
  56.016  27.444    12.9     2.9      99      99    99.0     360   0.389     3.8     2.5  2021 11 14 20 23 12.00
  56.188  27.574     9.8     2.9      99      99    99.0     360   0.375     2.9     2.2  2021 11 14 20 41 14.16
  56.258  27.530    19.7     2.8      99      99    99.0     360   0.395    15.1    12.1  2021 11 14 21 13 31.55
  56.141  27.531    16.8     2.7      99      99    99.0     360   0.268     3.7     2.5  2021 11 14 21 27 37.71
  56.240  27.628    10.5     2.9      99      99    99.0     360   0.252     4.7     5.0  2021 11 14 21 33 35.96
  56.204  27.569    14.8     3.2      99      99    99.0     360   0.355     3.0     2.1  2021 11 14 22 13 17.53
  56.204  27.583    14.9     3.4      99      99    99.0     360   0.389     2.7     2.2  2021 11 14 22 48 53.47
  56.167  27.541    14.7     2.9      99      99    99.0     360   0.342     2.8     1.6  2021 11 15 00 32 24.89
  56.266  27.612     7.8     2.7      99      99    99.0     360   0.277     3.9     2.9  2021 11 15 00 53 52.06
  56.041  27.611     6.4     2.9      99      99    99.0     360   0.425     9.1     7.7  2021 11 15 01 07 09.30
  55.987  27.451    15.8     2.9      99      99    99.0     360   0.224     4.0     2.6  2021 11 15 01 23 24.07
  56.016  27.545    12.3     3.4      99      99    99.0     360   0.539     4.5     3.6  2021 11 15 01 41 28.17
  56.172  27.499    21.4     2.9      99      99    99.0     360   0.277     4.4     3.5  2021 11 15 01 45 29.37
  56.296  27.592    16.2     2.8      99      99    99.0     360   0.194     4.1     3.0  2021 11 15 01 59 51.92
  56.127  27.612     2.9     4.2      99      99    99.0     360   0.467     6.4     6.7  2021 11 15 02 02 27.14
  56.025  27.539     9.1     2.8      99      99    99.0     360   0.356     7.9     6.9  2021 11 15 02 45 22.30
  56.159  27.629    11.2     3.7      99      99    99.0     360   0.280     4.6     4.3  2021 11 15 02 53 43.43
  56.058  27.612     7.2     3.3      99      99    99.0     360   0.409     8.4     7.6  2021 11 15 03 04 38.15
  56.218  27.482    17.2     3.9      99      99    99.0     360   0.226     2.9     1.9  2021 11 15 03 14 35.85
  56.101  27.536    18.7     3.1      99      99    99.0     360   0.233     4.1     3.6  2021 11 15 03 55 19.42
  56.193  27.537    12.8     3.3      99      99    99.0     360   0.256     3.2     2.1  2021 11 15 04 13 32.22
  56.166  27.494    16.0     3.4      99      99    99.0     360   0.500     3.9     2.4  2021 11 15 05 04 32.60
  56.195  27.599     1.0     2.9      99      99    99.0     360   0.286     6.2     3.1  2021 11 15 05 58 25.26
  56.205  27.570    16.1     3.3      99      99    99.0     360   0.263     2.8     2.4  2021 11 15 06 43 48.25
  56.047  27.577    10.4     2.9      99      99    99.0     360   0.310     7.0     6.5  2021 11 15 07 10 25.85
  56.259  27.538    14.1     3.7      99      99    99.0     360   0.403     5.6     4.5  2021 11 15 07 44 54.53
  56.250  27.521    17.5     2.9      99      99    99.0     360   0.580     8.8     4.5  2021 11 15 08 18 13.22
  56.178  27.572    14.0     2.9      99      99    99.0     360   0.523     3.8     3.6  2021 11 15 09 14 13.06
  56.242  27.561    19.1     3.2      99      99    99.0     360   0.408     4.0     3.3  2021 11 15 09 45 23.76
  56.143  27.602    12.6     2.7      99      99    99.0     360   0.502     3.5     2.6  2021 11 15 09 55 01.89
  56.240  27.632     9.4     2.8      99      99    99.0     360   0.399     2.9     2.3  2021 11 15 10 14 18.32
  56.188  27.573    18.3     2.9      99      99    99.0     360   0.322     3.1     2.6  2021 11 15 10 52 25.35
  56.141  27.515    10.1     3.5      99      99    99.0     360   0.434     4.3     3.3  2021 11 15 11 24 14.98
  56.196  27.647     1.0     2.8      99      99    99.0     360   0.334     4.1     3.5  2021 11 15 12 21 30.57
  56.190  27.577    12.4     2.9      99      99    99.0     360   0.373     3.3     2.5  2021 11 15 13 07 48.61
  56.229  27.560     7.1     2.9      99      99    99.0     360   0.243     4.4     2.7  2021 11 15 13 28 14.48
  56.163  27.570    19.2     5.0      99      99    99.0     360   0.326     3.5     3.6  2021 11 15 13 36 11.43
  56.122  27.633     9.1     2.7      99      99    99.0     360   0.290     4.2     3.1  2021 11 15 13 48 53.07
  56.138  27.521    16.0     3.3      99      99    99.0     360   0.373     4.5     3.6  2021 11 15 14 24 52.68
  56.140  27.512    17.3     2.9      99      99    99.0     360   0.381     3.8     3.2  2021 11 15 14 37 32.21
  56.194  27.515    22.2     2.9      99      99    99.0     360   0.343    13.9    12.2  2021 11 15 14 38 52.54
  56.151  27.606     2.8     2.8      99      99    99.0     360   0.275     4.7     2.9  2021 11 15 14 47 46.10
  56.199  27.505    14.0     2.9      99      99    99.0     360   0.411     3.1     2.1  2021 11 15 15 02 22.19
  56.185  27.555    13.3     2.8      99      99    99.0     360   0.330     3.6     3.5  2021 11 15 15 49 37.85
  56.138  27.652     5.7     2.6      99      99    99.0     360   0.399     4.6     3.0  2021 11 15 16 03 24.25
  56.165  27.545    15.7     3.8      99      99    99.0     360   0.466     5.9     3.6  2021 11 15 16 42 42.93
  56.129  27.517     2.5     2.8      99      99    99.0     360   0.421    13.6     8.5  2021 11 15 16 52 03.77
  56.199  27.610     2.7     2.5      99      99    99.0     360   0.302     3.9     3.7  2021 11 15 17 04 22.60
  56.199  27.552    12.6     2.9      99      99    99.0     360   0.373     3.7     3.0  2021 11 15 17 22 19.57
  56.238  27.546    18.6     4.3      99      99    99.0     360   0.357     3.3     2.1  2021 11 15 18 05 38.07
  55.973  27.510    14.6     3.5      99      99    99.0     360   0.445     3.2     2.2  2021 11 15 18 18 16.00
  56.180  27.539     8.4     2.9      99      99    99.0     360   0.432     4.0     3.5  2021 11 15 18 23 01.39
  56.243  27.550    11.8     2.8      99      99    99.0     360   0.272     6.4     4.4  2021 11 15 18 30 43.56
  56.181  27.568    11.5     3.7      99      99    99.0     360   0.384     3.0     2.0  2021 11 15 19 12 14.03
  55.978  27.537     5.3     3.2      99      99    99.0     360   0.266    10.8     8.4  2021 11 15 19 31 49.78
