CODE    LAT    LON  ELV
JHRM 28.505 53.577 0998
MZN1 28.059 54.652 0780
LMD1 27.340 53.165 0425
QIR1 28.476 53.044 0740
KHL1 27.640 53.301 0468
KHGB 30.375 56.477 2057
CHMN 29.861 57.540 2923
KBAM 29.136 58.452 0971
KHNJ 27.948 57.706 0492
KHJ1 28.349 58.165 0889
KSHB 30.241 55.117 2114
KSHD 30.345 57.512 1150
NGRK 29.644 56.730 3123
TVBK 29.986 56.761 2886
GENO 27.400 56.172 1616
JASK 25.867 57.866 0234
BNB  27.449 56.540 0062
MZJN 28.060 54.652 0797
UOSS 24.945 56.204 0283
BNDS 27.399 56.171 1500
GHIR 28.286 52.987 1200
JSSH 25.909 57.387 0031
KRBR 29.983 56.760 2576
