# 2021 08 24 06 24 40.80  27.627  56.472  20.8 0.00 0.00 0.00  0.3    100000
BNB    4.900   1.0 P
GENO   7.700   1.0 P
JASK  36.600   1.0 P
KBAM  38.800   1.0 P
KRBR  39.700   1.0 P
CHMN  40.200   1.0 P
KHGB  45.200   1.0 P
KSHD  46.600   0.0 P
KSHB  47.000   1.0 P
GHIR  50.940   1.0 P
LMD1  48.450   1.0 P
JSSH  34.160   1.0 P
BNDS   7.610   1.0 P
# 2021 09 01 16 32 06.60  27.871  56.337   1.2 0.00 0.00 0.00  0.2    100001
BNB    9.600   1.0 P
GENO  10.000   1.0 P
GENO  18.000   1.0 S
KRBR  39.700   1.0 P
KBAM  40.600   1.0 P
# 2021 10 14 14 17 46.20  27.487  56.242  11.2 0.00 0.00 0.00  0.3    100002
BNB    6.300   1.0 P
MZN1  30.300   1.0 P
JASK  38.800   1.0 P
KBAM  44.500   1.0 P
CHMN  45.400   1.0 P
KHGB  49.300   1.0 P
MZN1  51.200   1.0 S
KSHD  51.400   1.0 P
GHIR  50.570   1.0 P
KRBR  44.940   1.0 P
BNDS   4.880   1.0 P
JSSH  35.540   1.0 P
# 2021 10 29 05 26 04.00  27.151  56.206   6.0 0.00 0.00 0.00  0.4    100003
BNDS  10.300   1.0 S
JASK  35.900   1.0 P
KBAM  48.800   1.0 P
CHMN  50.400   1.0 P
KHGB  54.900   1.0 P
# 2021 10 29 05 55 26.40  27.187  56.267  13.3 0.00 0.00 0.00  0.3    100004
BNDS   6.200   1.0 P
BNB    8.000   1.0 P
JASK  35.400   1.0 P
KBAM  47.000   1.0 P
CHMN  48.700   1.0 P
# 2021 11 14 12 07 04.40  27.568  56.084  19.5 0.00 0.00 0.00  0.4    100005
BNDS   4.800   1.0 P
MZN1  25.500   1.0 P
JASK  39.400   1.0 P
JHRM  40.300   1.0 P
LMD1  42.700   1.0 P
KBAM  43.200   1.0 P
UOSS  43.500   1.0 P
CHMN  43.600   1.0 P
MZN1  45.500   1.0 S
KSHB  45.600   1.0 P
KHGB  46.500   1.0 P
GHIR  46.880   1.0 P
BNDS  10.710   1.0 S
KRBR  38.310   1.0 P
JSSH  36.640   1.0 P
# 2021 11 14 12 08 38.10  27.536  56.174  10.0 0.00 0.00 0.00  0.3    100006
BNDS   3.400   1.0 P
MZN1  28.200   1.0 P
KBAM  43.900   1.0 P
CHMN  44.200   1.0 P
MZN1  48.400   1.0 S
BNDS   8.660   1.0 S
# 2021 11 14 12 40 52.60  27.550  56.211  19.2 0.00 0.00 0.00  0.3    100007
BNDS   4.700   1.0 P
KBAM  42.100   1.0 P
CHMN  43.200   1.0 P
MZN1  48.500   1.0 S
GHIR  46.200   1.0 P
BNDS   8.610   1.0 S
KRBR  39.340   1.0 P
JSSH  33.050   1.0 P
LMD1  42.730   1.0 P
# 2021 11 14 12 52 37.80  27.518  56.093  15.1 0.00 0.00 0.00  0.4    100008
BNDS   4.000   1.0 P
UOSS  43.300   1.0 P
KBAM  44.200   1.0 P
CHMN  44.800   1.0 P
KHGB  47.500   1.0 P
GHIR  50.070   1.0 P
KRBR  40.420   0.0 P
LMD1  46.090   1.0 P
JSSH  34.850   1.0 P
# 2021 11 14 13 05 48.40  27.525  56.245   9.0 0.00 0.00 0.00  0.3    100009
BNDS   5.800   1.0 S
MZN1  28.900   1.0 P
CHMN  44.200   1.0 P
KSHB  48.700   1.0 P
MZN1  50.900   1.0 S
# 2021 11 14 13 13 15.90  27.567  56.161  19.7 0.00 0.00 0.00  0.4    100010
BNDS   4.900   1.0 P
BNDS   8.600   1.0 S
KBAM  42.700   1.0 P
CHMN  43.300   1.0 P
UOSS  43.400   1.0 P
KSHB  46.000   1.0 P
# 2021 11 14 13 45 00.80  27.522  56.135  18.8 0.00 0.00 0.00  0.3    100011
BNDS   4.200   1.0 P
KBAM  43.500   1.0 P
CHMN  43.800   1.0 P
MZN1  46.900   1.0 S
# 2021 11 14 14 02 56.40  27.590  56.136  17.0 0.00 0.00 0.00  0.3    100012
BNDS   4.900   1.0 P
MZN1  26.600   1.0 P
JASK  39.100   1.0 P
CHMN  42.800   1.0 P
KBAM  43.000   1.0 P
UOSS  44.000   1.0 P
LMD1  44.000   1.0 P
KSHB  45.300   1.0 P
MZN1  45.600   1.0 S
GHIR  47.410   1.0 P
JSSH  35.960   1.0 P
KRBR  38.510   0.0 P
# 2021 11 14 14 13 57.40  27.496  56.213  12.5 0.00 0.00 0.00  0.3    100013
BNDS   3.300   1.0 P
MZN1  28.000   1.0 P
JASK  38.000   1.0 P
UOSS  43.000   1.0 P
KBAM  43.200   1.0 P
CHMN  44.200   1.0 P
KSHB  48.100   1.0 P
GHIR  46.240   1.0 P
JSSH  34.950   1.0 P
KRBR  38.920   0.0 P
LMD1  43.250   1.0 P
# 2021 11 14 14 19 32.60  27.625  56.176  10.0 0.00 0.00 0.00  0.4    100014
BNDS   5.900   1.0 P
KRBR  38.500   0.0 P
CHMN  43.900   1.0 P
KBAM  44.200   1.0 P
# 2021 11 14 14 24 13.80  27.576  56.172  13.1 0.00 0.00 0.00  0.3    100015
BNDS   5.000   1.0 P
MZN1  27.900   1.0 P
JASK  40.000   1.0 P
KBAM  43.800   1.0 P
CHMN  44.400   1.0 P
UOSS  44.700   1.0 P
MZN1  49.000   1.0 S
GHIR  52.320   1.0 P
JSSH  37.360   1.0 P
KRBR  39.900   0.0 P
LMD1  48.650   1.0 P
# 2021 11 14 14 52 19.60  27.601  56.228  10.0 0.00 0.00 0.00  0.5    100016
BNDS   5.400   1.0 P
JASK  40.500   1.0 P
CHMN  43.700   1.0 P
KBAM  43.800   1.0 P
# 2021 11 14 15 05 45.80  27.517  55.835   6.0 0.00 0.00 0.00  0.3    100017
MZN1  24.100   1.0 P
JASK  42.900   1.0 P
UOSS  45.400   1.0 P
KSHB  48.300   1.0 P
# 2021 11 14 15 12 08.00  27.593  56.255  14.3 0.00 0.00 0.00  0.4    100018
BNDS   4.700   1.0 P
JASK  38.600   1.0 P
KBAM  41.900   1.0 P
CHMN  42.800   1.0 P
UOSS  44.200   1.0 P
MZN1  49.700   1.0 S
GHIR  48.140   1.0 P
JSSH  35.950   1.0 P
LMD1  44.760   1.0 P
KRBR  37.930   0.0 P
# 2021 11 14 15 22 19.20  27.524  56.128  13.8 0.00 0.00 0.00  0.5    100019
BNDS   3.700   1.0 P
MZN1  26.000   1.0 P
JASK  39.100   1.0 P
JHRM  40.900   1.0 P
UOSS  43.300   1.0 P
KBAM  43.500   1.0 P
CHMN  43.900   1.0 P
MZN1  47.400   1.0 S
KSHB  48.300   1.0 P
GHIR  46.560   1.0 P
JSSH  34.860   1.0 P
LMD1  44.380   1.0 P
KRBR  38.600   0.0 P
# 2021 11 14 15 34 31.80  27.765  56.168  13.6 0.00 0.00 0.00  0.3    100020
MZN1  25.400   1.0 P
KBAM  40.700   1.0 P
JASK  41.000   1.0 P
CHMN  41.600   1.0 P
# 2021 11 14 15 41 38.30  27.650  56.321  10.0 0.00 0.00 0.00  0.3    100021
BNDS   7.000   1.0 P
MZN1  30.200   1.0 P
CHMN  44.100   0.0 P
KBAM  45.500   1.0 P
MZN1  51.500   1.0 S
# 2021 11 14 15 59 11.70  27.520  56.110  15.9 0.00 0.00 0.00  0.4    100022
BNDS   3.800   1.0 P
BNDS   7.200   1.0 S
MZN1  26.700   1.0 P
UOSS  42.700   1.0 P
KBAM  43.400   1.0 P
CHMN  44.500   1.0 P
KHGB  47.200   1.0 P
GHIR  45.850   1.0 P
KRBR  38.140   0.0 P
LMD1  43.820   1.0 P
JSSH  36.570   1.0 P
# 2021 11 14 16 10 08.20  27.585  56.160  13.7 0.00 0.00 0.00  0.4    100023
BNDS   5.200   1.0 P
MZN1  28.600   1.0 P
CHMN  44.500   1.0 P
MZN1  47.700   1.0 S
GHIR  48.140   1.0 P
KRBR  40.710   1.0 P
# 2021 11 14 16 19 57.40  27.508  56.149  18.6 0.00 0.00 0.00  0.4    100024
BNDS   3.900   1.0 P
MZN1  27.400   1.0 P
JASK  37.600   1.0 P
JHRM  40.700   1.0 P
KBAM  42.900   1.0 P
UOSS  42.900   1.0 P
CHMN  43.600   1.0 P
LMD1  43.800   1.0 P
KHGB  46.900   1.0 P
KSHB  47.100   1.0 P
GHIR  47.750   1.0 P
KRBR  38.280   0.0 P
JSSH  35.890   1.0 P
# 2021 11 14 16 34 13.20  27.506  56.243  17.9 0.00 0.00 0.00  0.3    100025
BNDS   4.100   1.0 P
MZN1  28.100   1.0 P
JASK  37.500   1.0 P
KBAM  42.100   1.0 P
CHMN  43.300   1.0 P
KHGB  47.000   1.0 P
# 2021 11 14 17 01 18.30  27.593  56.214  19.8 0.00 0.00 0.00  0.5    100026
BNDS   5.300   1.0 P
MZN1  27.000   1.0 P
KBAM  41.200   1.0 P
CHMN  41.700   1.0 P
UOSS  44.100   1.0 P
KHGB  45.600   1.0 P
KSHB  46.500   0.0 P
MZN1  48.600   1.0 S
# 2021 11 14 17 31 53.40  27.571  56.258  10.0 0.00 0.00 0.00  0.5    100027
BNDS   5.400   1.0 P
MZN1  29.900   1.0 P
JASK  39.300   1.0 P
KBAM  44.100   1.0 P
CHMN  45.200   1.0 P
KHGB  48.000   1.0 P
# 2021 11 14 17 36 38.30  27.647  55.796  10.0 0.00 0.00 0.00  0.9    100028
BNDS   9.000   1.0 P
BNDS  14.500   1.0 S
KRBR  41.300   1.0 P
KBAM  46.600   1.0 P
CHMN  46.900   1.0 P
# 2021 11 14 17 40 57.60  27.556  56.186  13.5 0.00 0.00 0.00  0.5    100029
BNDS   4.000   1.0 P
MZN1  27.400   1.0 P
JASK  38.600   0.0 P
KBAM  42.300   1.0 P
CHMN  43.000   1.0 P
UOSS  43.900   1.0 P
KHGB  46.900   1.0 P
# 2021 11 14 17 50 23.60  27.531  56.173  16.2 0.00 0.00 0.00  0.5    100030
BNDS   3.800   1.0 P
MZN1  26.800   1.0 P
KBAM  42.900   1.0 P
UOSS  43.600   1.0 P
CHMN  43.600   1.0 P
KHGB  46.900   1.0 P
MZN1  48.500   1.0 S
# 2021 11 14 17 58 13.00  27.594  56.188  11.3 0.00 0.00 0.00  0.4    100031
BNDS   4.700   1.0 P
MZN1  27.600   1.0 P
JASK  39.600   1.0 P
KBAM  43.200   1.0 P
CHMN  43.400   1.0 P
UOSS  45.200   1.0 P
KSHB  47.500   1.0 P
MZN1  48.400   1.0 S
# 2021 11 14 18 01 11.70  27.568  56.140   8.0 0.00 0.00 0.00  0.3    100032
BNDS   4.500   1.0 P
MZN1  27.700   1.0 P
UOSS  45.400   1.0 P
KBAM  45.400   1.0 P
CHMN  45.800   1.0 P
MZN1  48.000   1.0 S
# 2021 11 14 18 18 38.60  27.578  56.162  20.0 0.00 0.00 0.00  0.4    100033
BNDS   5.300   1.0 P
