     LON     LAT   DEPTH     MAG    PHUSD   NO_ST   MIND     GAP     RMS     SEH     SEZ  YYYY MM DD HH MN SEC
  56.263  27.485    14.0     2.8      99      99    99.0     360   0.252     5.3     3.7  2021 10 14 14 17 47.21
  56.084  27.573    17.6     6.2      99      99    99.0     360   0.327     3.7     2.9  2021 11 14 12 07 04.09
  56.175  27.546     9.3     6.3      99      99    99.0     360   0.444     4.0     2.7  2021 11 14 12 08 37.93
  56.200  27.495    25.1     4.2      99      99    99.0     360   0.488    14.3     8.6  2021 11 14 12 40 52.18
  56.127  27.511    15.4     4.0      99      99    99.0     360   0.503     6.3     3.6  2021 11 14 12 52 37.90
  56.141  27.562    20.3     4.0      99      99    99.0     360   0.221     3.6     2.4  2021 11 14 13 13 15.83
  56.140  27.591    17.9     4.6      99      99    99.0     360   0.303     2.7     2.1  2021 11 14 14 02 56.18
  56.203  27.502    14.1     3.6      99      99    99.0     360   0.307     3.9     2.7  2021 11 14 14 13 57.09
  56.176  27.570    13.3     3.8      99      99    99.0     360   0.256     3.2     2.2  2021 11 14 14 24 14.30
  56.216  27.591    15.8     4.3      99      99    99.0     360   0.414     6.0     3.4  2021 11 14 15 12 07.65
  56.130  27.550    12.8     4.3      99      99    99.0     360   0.476     5.1     2.7  2021 11 14 15 22 18.69
  56.120  27.519    15.9     4.0      99      99    99.0     360   0.400     4.3     2.8  2021 11 14 15 59 11.44
  56.177  27.533    18.0     3.5      99      99    99.0     360   0.649    11.3     7.9  2021 11 14 16 10 08.99
  56.181  27.517    18.0     4.4      99      99    99.0     360   0.384     5.2     4.0  2021 11 14 16 19 57.14
  56.240  27.525    17.3     3.3      99      99    99.0     360   0.214     4.1     2.5  2021 11 14 16 34 12.85
  56.232  27.620    17.8     3.4      99      99    99.0     360   0.345     4.4     3.0  2021 11 14 17 01 17.76
  56.238  27.522    15.7     2.8      99      99    99.0     360   0.317     9.7     8.0  2021 11 14 17 31 54.47
  56.215  27.574    11.9     3.4      99      99    99.0     360   0.243     4.7     3.6  2021 11 14 17 40 57.03
  56.176  27.548    13.9     3.5      99      99    99.0     360   0.355     4.3     2.5  2021 11 14 17 50 23.16
  56.183  27.591    12.4     3.7      99      99    99.0     360   0.304     3.2     2.4  2021 11 14 17 58 13.03
  56.092  27.530    10.1     3.5      99      99    99.0     360   0.370    10.6     9.9  2021 11 14 18 01 12.38
  56.170  27.584    22.0     3.6      99      99    99.0     360   0.269     3.0     1.9  2021 11 14 18 18 38.43
  56.246  27.599    13.6     3.3      99      99    99.0     360   0.407     5.7     3.7  2021 11 14 18 38 16.60
  56.116  27.535    14.7     2.8      99      99    99.0     360   0.176     5.4     3.8  2021 11 14 18 46 39.06
  56.219  27.565    24.4     2.7      99      99    99.0     360   0.795     7.2     5.5  2021 11 14 18 57 21.64
  56.251  27.548    10.5     3.5      99      99    99.0     360   0.348     7.1     5.2  2021 11 14 19 07 05.59
  56.292  27.589    15.7     2.9      99      99    99.0     360   0.308     5.8     3.9  2021 11 14 19 10 04.37
  56.145  27.540    23.6     2.7      99      99    99.0     360   0.453     6.0     3.8  2021 11 14 19 18 31.35
  56.033  27.461    14.1     2.9      99      99    99.0     360   0.200     6.2     3.8  2021 11 14 19 30 08.48
  56.107  27.540    17.5     3.5      99      99    99.0     360   0.446     4.3     2.7  2021 11 14 20 09 49.07
  56.018  27.441    12.8     2.9      99      99    99.0     360   0.388     6.4     3.5  2021 11 14 20 23 12.00
  56.187  27.574     9.7     2.9      99      99    99.0     360   0.375     5.9     5.7  2021 11 14 20 41 14.14
  56.247  27.534    19.7     2.8      99      99    99.0     360   0.344    13.9    11.9  2021 11 14 21 13 31.51
  56.141  27.533    16.7     2.7      99      99    99.0     360   0.263     3.7     2.6  2021 11 14 21 27 37.71
  56.234  27.626    11.0     2.9      99      99    99.0     360   0.273     6.4     6.3  2021 11 14 21 33 35.93
  56.201  27.568    15.0     3.2      99      99    99.0     360   0.364     3.9     2.7  2021 11 14 22 13 17.51
  56.204  27.583    14.9     3.4      99      99    99.0     360   0.424     3.3     2.7  2021 11 14 22 48 53.47
  56.165  27.542    14.6     2.9      99      99    99.0     360   0.327     4.3     2.7  2021 11 15 00 32 24.87
  56.262  27.611     8.1     2.7      99      99    99.0     360   0.254     5.8     3.6  2021 11 15 00 53 52.04
  56.045  27.606     7.4     2.9      99      99    99.0     360   0.450    11.0     8.9  2021 11 15 01 07 09.35
  55.989  27.448    15.8     2.9      99      99    99.0     360   0.218     6.6     4.0  2021 11 15 01 23 24.10
  56.024  27.544    12.3     3.4      99      99    99.0     360   0.460     6.8     6.3  2021 11 15 01 41 28.26
  56.172  27.498    21.4     2.9      99      99    99.0     360   0.285     5.7     4.5  2021 11 15 01 45 29.37
  56.292  27.589    16.7     2.8      99      99    99.0     360   0.204     5.4     3.6  2021 11 15 01 59 51.92
  56.123  27.602     5.1     4.2      99      99    99.0     360   0.432     6.0     4.5  2021 11 15 02 02 27.28
