   LON    LAT DEPTH MAG NSTUSED NPHASEP NPHASES MIND GAP  RMS SEH  SEZ YYYY MM DD HH MN   SEC
56.264 27.483  14.1 2.8     NaN     186       3  NaN NaN 0.38 1.6  2.6 2021 10 14 14 17 47.28
56.077 27.571  18.0 6.2     NaN     174       8  NaN NaN 0.43 1.8  3.1 2021 11 14 12  7  4.10
56.174 27.538  10.3 6.3     NaN     156      37  NaN NaN 0.47 1.5  2.5 2021 11 14 12  8 38.00
56.279 27.457  13.1 4.0     NaN       7       0  NaN NaN 0.20 3.6  4.0 2021 11 14 12 52 38.32
56.138 27.564  20.6 4.0     NaN      79       1  NaN NaN 0.37 2.1  2.8 2021 11 14 13 13 15.85
56.137 27.592  18.3 4.6     NaN     263      16  NaN NaN 0.43 1.5  2.5 2021 11 14 14  2 56.24
56.194 27.500  14.8 3.6     NaN     275       0  NaN NaN 0.39 1.6  2.4 2021 11 14 14 13 57.11
56.170 27.577  13.3 3.8     NaN     534      40  NaN NaN 0.38 1.0  1.9 2021 11 14 14 24 14.35
56.228 27.593  15.4 4.3     NaN     279      26  NaN NaN 0.47 1.6  2.6 2021 11 14 15 12  7.72
56.114 27.540  14.5 4.3     NaN     286      20  NaN NaN 0.54 1.9  3.2 2021 11 14 15 22 18.74
56.111 27.518  16.2 4.0     NaN     251       2  NaN NaN 0.49 2.0  2.9 2021 11 14 15 59 11.44
56.188 27.514  20.3 3.5     NaN     107      13  NaN NaN 0.78 3.4  5.0 2021 11 14 16 10  8.96
56.179 27.524  17.7 4.4     NaN     270       0  NaN NaN 0.46 2.3  2.8 2021 11 14 16 19 57.13
56.237 27.526  17.7 3.3     NaN     257       0  NaN NaN 0.21 1.5  1.9 2021 11 14 16 34 12.89
56.226 27.622  18.6 3.4     NaN     226      21  NaN NaN 0.38 1.5  2.8 2021 11 14 17  1 17.80
56.240 27.530  15.3 2.8     NaN     204       0  NaN NaN 0.30 1.5  2.1 2021 11 14 17 31 54.56
56.206 27.573  13.5 3.4     NaN     554       0  NaN NaN 0.25 1.2  2.3 2021 11 14 17 40 57.10
56.165 27.556  13.5 3.5     NaN     420      47  NaN NaN 0.38 1.4  2.5 2021 11 14 17 50 23.16
56.184 27.601  11.5 3.7     NaN     518      42  NaN NaN 0.32 1.3  2.7 2021 11 14 17 58 12.94
56.091 27.546   8.6 3.5     NaN      90      17  NaN NaN 0.30 2.7  4.6 2021 11 14 18  1 12.38
56.167 27.586  22.5 3.6     NaN     176       0  NaN NaN 0.25 1.5  2.7 2021 11 14 18 18 38.44
56.251 27.608  12.6 3.3     NaN     126      20  NaN NaN 0.41 1.6  3.1 2021 11 14 18 38 16.60
56.108 27.532  14.9 2.8     NaN      85       0  NaN NaN 0.22 2.1  3.1 2021 11 14 18 46 39.08
56.214 27.568  25.3 2.7     NaN      35       0  NaN NaN 0.78 3.1  6.6 2021 11 14 18 57 21.68
56.254 27.530  12.5 3.5     NaN     268      19  NaN NaN 0.41 1.4  1.9 2021 11 14 19  7  5.76
56.296 27.588  15.6 2.9     NaN     133       8  NaN NaN 0.46 2.0  3.5 2021 11 14 19 10  4.40
56.145 27.554  22.5 2.7     NaN     106      19  NaN NaN 0.50 2.3  2.6 2021 11 14 19 18 31.42
56.027 27.464  13.8 2.9     NaN      59       7  NaN NaN 0.19 2.2  3.7 2021 11 14 19 30  8.44
56.102 27.539  17.8 3.5     NaN     250      27  NaN NaN 0.44 1.8  2.7 2021 11 14 20  9 49.08
56.013 27.444  12.3 2.9     NaN      69       6  NaN NaN 0.38 2.3  3.7 2021 11 14 20 23 11.96
56.185 27.574   9.6 2.9     NaN     450       0  NaN NaN 0.39 1.4  2.1 2021 11 14 20 41 14.18
56.240 27.499  24.5 2.8     NaN       5       0  NaN NaN 0.21 8.6 14.0 2021 11 14 21 13 31.52
56.139 27.539  16.5 2.7     NaN     530       0  NaN NaN 0.24 1.4  2.4 2021 11 14 21 27 37.74
56.237 27.560  20.1 2.9     NaN     185       0  NaN NaN 0.30 2.2  4.0 2021 11 14 21 33 36.28
56.199 27.575  14.9 3.2     NaN     603      40  NaN NaN 0.36 1.2  2.1 2021 11 14 22 13 17.54
56.195 27.591  14.9 3.4     NaN     631      24  NaN NaN 0.47 1.2  2.2 2021 11 14 22 48 53.48
56.159 27.547  14.7 2.9     NaN     399      43  NaN NaN 0.33 1.5  2.5 2021 11 15  0 32 24.87
56.264 27.616   7.7 2.7     NaN      40       0  NaN NaN 0.29 2.1  3.7 2021 11 15  0 53 52.06
56.035 27.615   4.2 2.9     NaN      13       3  NaN NaN 0.56 3.5  6.7 2021 11 15  1  7  9.08
55.983 27.453  15.2 2.9     NaN      43       5  NaN NaN 0.24 2.5  4.2 2021 11 15  1 23 24.05
56.018 27.547  11.6 3.4     NaN      96       5  NaN NaN 0.45 2.2  3.6 2021 11 15  1 41 28.17
56.169 27.492  22.5 2.9     NaN      96      14  NaN NaN 0.30 2.1  3.3 2021 11 15  1 45 29.47
56.290 27.595  16.8 2.8     NaN      85       0  NaN NaN 0.22 2.1  3.1 2021 11 15  1 59 51.92
56.126 27.608   4.2 4.2     NaN     151       0  NaN NaN 0.54 3.1  7.9 2021 11 15  2  2 27.27
56.154 27.718  11.5 2.9     NaN      10       0  NaN NaN 0.28 3.7  5.2 2021 11 15  2 18  4.03
56.027 27.540   8.9 2.8     NaN      61       7  NaN NaN 0.37 2.8  4.0 2021 11 15  2 45 22.36
56.155 27.637  10.7 3.7     NaN     342      17  NaN NaN 0.42 1.7  3.4 2021 11 15  2 53 43.39
56.054 27.609   6.5 3.3     NaN      69       4  NaN NaN 0.42 3.0  6.0 2021 11 15  3  4 38.05
56.213 27.481  17.8 3.9     NaN     323       0  NaN NaN 0.23 1.4  2.1 2021 11 15  3 14 35.88
56.098 27.529  19.3 3.1     NaN     268       0  NaN NaN 0.28 1.9  3.2 2021 11 15  3 55 19.46
56.191 27.544  12.5 3.3     NaN     661       0  NaN NaN 0.25 1.2  2.0 2021 11 15  4 13 32.28
56.161 27.492  16.9 3.4     NaN     243      28  NaN NaN 0.54 1.8  2.8 2021 11 15  5  4 32.66
56.199 27.571  16.6 3.3     NaN     460       0  NaN NaN 0.31 1.3  2.3 2021 11 15  6 43 48.28
56.049 27.584  10.5 2.9     NaN      30       0  NaN NaN 0.33 2.3  4.9 2021 11 15  7 10 25.90
56.249 27.543  14.8 3.7     NaN     397      13  NaN NaN 0.51 1.4  2.1 2021 11 15  7 44 54.59
56.189 27.495  25.6 2.9     NaN       5       0  NaN NaN 0.51 9.8 16.1 2021 11 15  8 18 13.50
56.175 27.580  13.6 2.9     NaN     565      32  NaN NaN 0.47 1.1  1.9 2021 11 15  9 14 13.08
56.231 27.566  19.3 3.2     NaN     364      28  NaN NaN 0.47 2.4  5.0 2021 11 15  9 45 23.69
56.135 27.609  12.6 2.7     NaN     379      28  NaN NaN 0.46 1.4  2.6 2021 11 15  9 55  1.91
56.238 27.637   8.3 2.8     NaN     236      19  NaN NaN 0.40 1.5  3.1 2021 11 15 10 14 18.23
56.181 27.564  20.0 2.9     NaN     500      38  NaN NaN 0.40 1.8  2.5 2021 11 15 10 52 25.36
56.136 27.516  10.5 3.5     NaN     283      15  NaN NaN 0.40 1.9  3.8 2021 11 15 11 24 15.04
56.188 27.585  12.3 2.9     NaN     470      28  NaN NaN 0.45 1.2  2.4 2021 11 15 13  7 48.63
56.225 27.562   6.9 2.9     NaN     352       0  NaN NaN 0.23 1.4  2.3 2021 11 15 13 28 14.51
56.152 27.584  18.2 5.0     NaN     407      36  NaN NaN 0.43 1.5  2.2 2021 11 15 13 36 11.40
56.122 27.643   8.1 2.7     NaN     177      13  NaN NaN 0.30 1.7  3.6 2021 11 15 13 48 52.98
56.134 27.521  16.1 3.3     NaN     368      30  NaN NaN 0.44 1.8  3.3 2021 11 15 14 24 52.75
56.130 27.509  17.3 2.9     NaN     307      21  NaN NaN 0.41 1.7  2.8 2021 11 15 14 37 32.24
56.190 27.520  22.3 2.9     NaN     148      18  NaN NaN 0.33 6.6  9.9 2021 11 15 14 38 52.51
56.191 27.507  14.2 2.9     NaN     432      28  NaN NaN 0.40 1.6  2.7 2021 11 15 15  2 22.19
56.180 27.563  12.3 2.8     NaN     427       0  NaN NaN 0.30 1.3  2.4 2021 11 15 15 49 37.84
56.135 27.653   5.4 2.6     NaN     144      15  NaN NaN 0.47 1.7  3.8 2021 11 15 16  3 24.23
56.117 27.639   1.9 2.4     NaN      56       7  NaN NaN 0.49 2.1  2.8 2021 11 15 16 24 53.22
