   LON    LAT DEPTH MAG NSTUSED NPHASEP NPHASES MIND GAP  RMS  SEH  SEZ YYYY MM DD HH MN   SEC
56.254 27.488  14.0 2.8     NaN      67       4  NaN NaN 0.41  3.7  5.9 2021 10 14 14 17 47.15
56.084 27.571  17.4 6.2     NaN      98       5  NaN NaN 0.46  2.5  3.4 2021 11 14 12  7  4.19
56.264 27.454  13.4 4.0     NaN       7       0  NaN NaN 0.20  4.5  6.4 2021 11 14 12 52 38.41
56.138 27.590  18.0 4.6     NaN     117       6  NaN NaN 0.53  2.2  4.1 2021 11 14 14  2 56.29
56.167 27.495  15.7 3.6     NaN      77       0  NaN NaN 0.50  3.4  4.3 2021 11 14 14 13 57.09
56.174 27.576  12.2 3.8     NaN      67       9  NaN NaN 0.54  3.5  5.7 2021 11 14 14 24 14.35
56.226 27.592  14.9 4.3     NaN      87       9  NaN NaN 0.51  3.1  2.8 2021 11 14 15 12  7.69
56.123 27.533  14.5 4.3     NaN      93       6  NaN NaN 0.55  2.8  4.0 2021 11 14 15 22 18.83
56.100 27.518  15.9 4.0     NaN      82       1  NaN NaN 0.68  2.5  3.9 2021 11 14 15 59 11.43
56.177 27.526  16.9 4.4     NaN      94       0  NaN NaN 0.56  3.4  4.8 2021 11 14 16 19 57.15
56.228 27.621  17.7 3.4     NaN      28       4  NaN NaN 0.37  3.2  4.8 2021 11 14 17  1 17.80
56.315 27.583  14.8 2.9     NaN       7       1  NaN NaN 0.46  2.8  6.1 2021 11 14 19 10  4.54
56.104 27.540  17.3 3.5     NaN     111      12  NaN NaN 0.45  2.7  4.6 2021 11 14 20  9 49.16
56.015 27.431  12.6 2.9     NaN       6       1  NaN NaN 0.21  6.2  8.5 2021 11 14 20 23 12.04
56.212 27.573  13.7 3.2     NaN      49       7  NaN NaN 0.34  2.3  3.8 2021 11 14 22 13 17.60
56.176 27.601  13.8 3.4     NaN      56       8  NaN NaN 0.59  3.7  5.8 2021 11 14 22 48 53.32
56.126 27.570  10.9 4.2     NaN      22       0  NaN NaN 0.71  4.7  8.4 2021 11 15  2  2 27.57
56.127 27.536  23.7 3.7     NaN      17       2  NaN NaN 0.82  7.5 11.0 2021 11 15  2 53 43.64
56.215 27.486  16.5 3.9     NaN      40       0  NaN NaN 0.29  3.8  4.9 2021 11 15  3 14 35.87
56.197 27.537  12.4 3.3     NaN      48       0  NaN NaN 0.30  2.7  3.8 2021 11 15  4 13 32.29
56.201 27.571  16.0 3.3     NaN     126       0  NaN NaN 0.36  2.1  3.8 2021 11 15  6 43 48.30
56.247 27.556  14.9 3.7     NaN     115       7  NaN NaN 0.65  3.7  4.9 2021 11 15  7 44 54.48
56.233 27.565  18.6 3.2     NaN      93       7  NaN NaN 0.47  2.4  4.0 2021 11 15  9 45 23.69
56.147 27.588  13.6 2.7     NaN      25       4  NaN NaN 0.56  4.5  6.8 2021 11 15  9 55  1.95
56.233 27.631   8.0 2.8     NaN      28       4  NaN NaN 0.38  6.0  8.7 2021 11 15 10 14 18.18
56.189 27.561  19.1 2.9     NaN      97      13  NaN NaN 0.41  2.8  4.7 2021 11 15 10 52 25.37
56.128 27.519   9.3 3.5     NaN      72       7  NaN NaN 0.48  2.7  5.2 2021 11 15 11 24 15.00
56.180 27.575  13.1 2.9     NaN      56       8  NaN NaN 0.52  2.2  3.6 2021 11 15 13  7 48.73
56.155 27.580  18.0 5.0     NaN     189      21  NaN NaN 0.47  2.8  6.0 2021 11 15 13 36 11.46
56.124 27.639   7.5 2.7     NaN      28       4  NaN NaN 0.27  2.9  4.8 2021 11 15 13 48 52.99
56.136 27.516  15.9 3.3     NaN      77      10  NaN NaN 0.50  2.5  4.6 2021 11 15 14 24 52.80
56.125 27.503  17.3 2.9     NaN      65       7  NaN NaN 0.41  2.9  4.7 2021 11 15 14 37 32.25
56.186 27.506  14.3 2.9     NaN      70      10  NaN NaN 0.48  2.2  3.8 2021 11 15 15  2 22.16
56.183 27.547  15.0 3.8     NaN     142       8  NaN NaN 0.64  2.8  3.8 2021 11 15 16 42 43.15
56.204 27.552  12.2 2.9     NaN      75       7  NaN NaN 0.37  2.1  3.5 2021 11 15 17 22 19.56
56.234 27.550  18.3 4.3     NaN     184      21  NaN NaN 0.35  2.0  3.6 2021 11 15 18  5 38.12
55.995 27.522  13.4 3.5     NaN      30       0  NaN NaN 0.53  4.9  9.7 2021 11 15 18 18 16.20
56.178 27.559  12.5 3.7     NaN     110       8  NaN NaN 0.48  2.0  3.8 2021 11 15 19 12 14.12
56.077 27.516   8.7 3.2     NaN      14       0  NaN NaN 0.43  3.7  4.2 2021 11 15 19 31 51.32
56.026 27.498   9.5 2.8     NaN       7       1  NaN NaN 0.27  9.7 19.3 2021 11 15 19 53 15.90
56.167 27.624  20.6 3.3     NaN      89       6  NaN NaN 0.40  2.2  4.1 2021 11 15 20  6 29.02
56.162 27.590  14.2 3.3     NaN     142      13  NaN NaN 0.51  2.4  4.1 2021 11 15 21 24 17.60
55.973 27.505  14.7 3.1     NaN      18       1  NaN NaN 0.24  4.9  9.5 2021 11 15 22 31 50.08
56.082 27.593   6.6 3.1     NaN      20       3  NaN NaN 0.55  3.6  5.5 2021 11 15 22 51 21.30
56.207 27.579   9.0 2.8     NaN       8       0  NaN NaN 0.49  4.2  6.3 2021 11 16  0 48 48.97
56.029 27.529  12.5 2.9     NaN      21       3  NaN NaN 0.37 10.0 18.8 2021 11 16  1 35  5.03
56.246 27.653   3.9 2.6     NaN       7       1  NaN NaN 0.42  6.1 10.0 2021 11 16  2 44 14.88
56.134 27.566  19.2 4.1     NaN     121       8  NaN NaN 0.41  2.4  4.0 2021 11 16  5 12 14.07
56.129 27.468  22.6 3.2     NaN      28       4  NaN NaN 0.52 13.4 19.5 2021 11 16  5 56 25.12
56.164 27.613  12.3 3.7     NaN     119      10  NaN NaN 0.43  2.3  3.9 2021 11 16 10 37 29.43
56.249 27.492  17.3 3.5     NaN      92       6  NaN NaN 0.46  2.8  4.2 2021 11 16 15 35 47.24
56.154 27.523  14.7 3.9     NaN     183      20  NaN NaN 0.49  2.1  3.5 2021 11 16 19 27 41.82
56.047 27.496  13.0 3.1     NaN      73       5  NaN NaN 0.53  4.6  6.7 2021 11 16 19 33 46.66
56.193 27.565  18.2 3.7     NaN     195      16  NaN NaN 0.46  2.2  3.5 2021 11 17  1 59 40.32
56.123 27.543  17.8 3.1     NaN      81      15  NaN NaN 0.48  2.5  3.5 2021 11 17  2 51 34.48
56.172 27.606  13.6 3.4     NaN      73       7  NaN NaN 0.45  2.5  4.0 2021 11 17  8 55 10.80
56.221 27.516  12.4 3.2     NaN      63       5  NaN NaN 0.57  3.3  4.6 2021 11 17 12  1 17.38
56.121 27.591  19.1 3.6     NaN      42       6  NaN NaN 0.44  6.2 14.1 2021 11 17 13 42 22.81
56.215 27.565  15.8 3.5     NaN     158      22  NaN NaN 0.41  1.9  2.9 2021 11 17 18 37 18.58
56.151 27.526  15.3 3.7     NaN     200      18  NaN NaN 0.41  2.3  3.7 2021 11 17 19 29 37.48
56.189 27.566  11.7 3.2     NaN      83       9  NaN NaN 0.37  2.5  3.7 2021 11 17 21  8 35.34
56.158 27.586  15.9 3.3     NaN      95       7  NaN NaN 0.46  2.7  5.4 2021 11 17 21 31 58.44
56.225 27.567  13.5 3.0     NaN     232      22  NaN NaN 0.44  2.0  3.0 2021 11 17 23 20 25.84
56.185 27.580  12.5 3.3     NaN     181       0  NaN NaN 0.40  2.1  3.5 2021 11 17 23 53 46.52
56.270 27.509  16.0 3.4     NaN      76       8  NaN NaN 0.45  2.5  3.1 2021 11 18  2 18 15.10
56.153 27.534  13.1 3.4     NaN      73       7  NaN NaN 0.44  2.2  4.2 2021 11 18 12  2 51.56
56.100 27.534  14.6 4.3     NaN     145      19  NaN NaN 0.47  2.4  4.0 2021 11 18 16 10 42.36
56.226 27.636  11.8 3.5     NaN      75      12  NaN NaN 0.52  4.7  6.7 2021 11 18 20 50 50.68
56.151 27.536  15.5 3.3     NaN      72       8  NaN NaN 0.66  3.9  4.6 2021 11 18 21 20  6.72
56.207 27.557  17.1 3.5     NaN     306      42  NaN NaN 0.42  1.9  3.3 2021 11 18 23  5 21.14
56.269 27.539  12.9 2.7     NaN      56       8  NaN NaN 0.55  3.1  4.8 2021 11 19  1 59 44.61
56.162 27.613  13.2 3.6     NaN     135       7  NaN NaN 0.48  2.4  3.9 2021 11 19 10 34 23.81
56.233 27.583  14.9 4.0     NaN     127      16  NaN NaN 0.57  3.1  4.5 2021 11 19 18 52  8.90
56.149 27.531  12.1 3.3     NaN      78      15  NaN NaN 0.37  2.0  4.5 2021 11 20  4 55 55.10
