                        ORT     Lon     Lat     Dep  Mag Nus NuP NuS   ADS   MDS GAP   RMS     ERH     ERZ
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2006-01-02T07:01:02.100000Z  52.387  36.516  21.999  2.8  10  10   1 141.3  30.7  40  0.01   0.336   0.391
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2006-01-03T16:47:09.340000Z  53.186  36.165  17.635  1.3   5   5   1  69.2  40.8  55  0.11   1.054   2.422
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2006-01-06T13:02:53.690000Z  53.405  36.005  17.573  2.3   8   8   4  80.1  24.6  93  0.29   1.515   1.380
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2006-01-09T12:00:15.060000Z  52.777  36.165  23.787  1.7   4   4   2  82.9  40.4 151  0.36   2.094   1.662
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2006-01-14T08:46:51.360000Z  51.450  35.651  25.738  1.6   5   5   2 120.6  32.8  98  0.33   2.004   2.149
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2006-01-15T09:17:43.630000Z  53.112  35.482  11.675  1.5   6   6   1  72.9  17.9 139  0.16   1.239   1.520
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2006-01-17T09:28:07.110000Z  52.806  35.840  14.458  1.4   7   7   2  70.8  22.5 124  0.27   2.472   2.744
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2006-01-25T14:55:49.950000Z  53.108  35.753  14.843  1.7   6   6   1  67.7  17.0 110  0.34   1.393   1.631
2006-01-25T19:57:14.180000Z  52.717  35.446  29.627  2.0   8   8   1 106.0  22.0 134  0.00   1.639   0.834
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2006-02-06T00:31:27.880000Z  52.457  35.416  14.415  1.5   9   9   6  96.1  36.8 140  0.34   1.908   2.175
2006-02-06T11:09:39.990000Z  52.064  36.420  18.514  2.7  10  10   2 129.3  31.5  46  0.38   2.135   1.232
2006-02-06T12:42:53.660000Z  53.086  35.379  34.028  0.8   3   3   3  34.7  11.5 249  0.30   2.700   1.595
2006-02-07T08:56:43.920000Z  53.234  35.560  17.676  1.5   5   5   1  63.5  27.7 132  0.12   1.148   1.442
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2006-02-09T16:20:40.430000Z  50.998  35.397   6.664  2.5   5   5   3 122.2  43.8 147  0.06   4.703   6.023
2006-02-09T16:22:30.250000Z  50.973  35.394  14.548  1.7   5   5   4 110.9  42.6 148  0.50   3.746   5.282
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2006-02-13T00:52:41.410000Z  53.551  36.091  16.242  1.1   5   5   2  54.7  17.6 111  0.30   1.742   1.734
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2006-02-13T14:36:18.590000Z  52.975  35.376   2.225  1.7   9   9   4 122.1   1.5 167  0.34   2.387   2.513
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2006-02-13T19:47:41.480000Z  52.528  35.383  15.095  2.6  11  11   2 113.5  35.3 149  0.28   1.624   1.628
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2006-02-19T05:15:39.160000Z  53.276  35.951  10.148  1.3   3   3   3  54.8  16.1  44  0.24   1.272   1.037
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2006-02-20T09:21:08.770000Z  53.602  35.177  30.726  2.1   7   7   4 100.2  43.0 249  0.09   3.947   4.620
2006-02-21T12:58:42.850000Z  51.282  36.175  33.490  1.5   5   5   4 112.4  52.6  38  0.26   0.859   1.112
2006-02-22T23:19:25.180000Z  50.400  36.151   7.538  4.1  17  17   2 165.4  57.0  46  1.06   6.688  11.342
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2006-02-24T19:53:59.600000Z  53.365  34.958  36.881  1.0   6   6   4 108.9  59.7 230  0.23   2.724   3.014
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2006-02-25T14:46:35.160000Z  53.337  35.978  14.186  1.4   5   5   3  57.0  19.7  86  0.28   1.448   1.252
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2006-02-27T13:31:21.640000Z  50.223  34.896  24.584  3.5  25  25   2 220.0  62.5 190  0.13   4.216   3.924
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2006-03-01T13:30:26.770000Z  52.228  35.784  12.688  2.4   7   7   5 114.6  47.3  99  0.41   2.268   2.680
2006-03-01T20:25:44.280000Z  53.641  36.278   2.764  1.3   5   5   5  62.2   8.8 119  0.16   2.381   1.652
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2006-03-03T20:21:16.440000Z  53.438  36.043   8.228  1.4   7   7   0  65.8  28.7  95  0.29   1.768   3.256
2006-03-03T21:36:27.800000Z  53.029  35.904  10.193  1.5   6   6   1  59.4  25.5  80  0.16   1.376   1.815
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2006-03-07T19:58:43.080000Z  51.430  36.399  14.606  3.0  11  11   5 159.7  65.5  51  0.30   5.186   4.584
2006-03-08T00:04:21.940000Z  51.391  36.450  15.494  2.3   9   9   3 163.1  72.1  61  0.33   2.449   5.641
2006-03-08T05:17:43.660000Z  51.405  36.476  10.686  2.6   9   9   5 158.3  74.2  47  0.29   3.211   5.792
2006-03-08T06:25:06.830000Z  52.043  35.377  21.730  1.5   4   4   4  74.5  51.2 116  0.32   1.288   1.191
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2006-03-08T14:56:39.070000Z  52.860  35.861   5.149  1.6   7   7   6 105.5  26.1  56  0.43   1.808   2.182
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2006-03-08T15:31:43.210000Z  52.099  36.113  18.505  1.7   7   7   5 111.6  25.8  64  0.07   3.680   5.500
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2006-03-12T14:17:00.300000Z  53.498  35.632  25.798  2.9   3   3   3  41.9  27.3 124  0.21   0.657   0.665
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2006-03-13T08:02:32.710000Z  53.184  35.552  25.053  1.2   5   4   3  57.0  28.0 129  0.50   1.569   1.552
2006-03-13T09:22:05.030000Z  53.118  35.472  14.597  1.8   8   8   6  85.2  17.7 144  0.28   1.252   1.550
2006-03-13T09:33:10.370000Z  53.317  35.632  22.127  1.2   3   3   3  39.9  19.5 121  0.15   1.083   1.564
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
