# 2011 01 01 12 47 05.900000 35.618 49.024  12.4  2.2 0.0 0.0 0.0         1
IL5  24.100 1.00 Pg
MHD  24.200 1.00 Pg
RAZ  14.050 1.00 Pg
RAZ  24.340 1.00 Sg
# 2011 01 01 13 02 35.200000 35.919 53.156   3.4  1.4 0.0 0.0 0.0         2
ANJ  13.730 1.00 Pg
DMV  17.640 1.00 Pg
FIR   7.660 1.00 Pg
LAS  10.210 1.00 Pg
SHM   3.110 1.00 Pg
SHM   5.190 1.00 Sg
# 2011 01 01 14 12 38.200000 35.112 49.673  18.0  1.7 0.0 0.0 0.0         3
IL5  13.590 1.00 Pg
MHD  18.630 1.00 Pg
RAZ   7.050 1.00 Pg
RAZ  12.420 1.00 Sg
# 2011 01 01 14 21 10.000000 35.398 53.152   5.0  2.3 0.0 0.0 0.0         4
ANJ  11.260 1.00 Pg
DMV  17.500 1.00 Pg
FIR   7.340 1.00 Pg
LAS   2.580 1.00 Pg
SHM   7.590 1.00 Pg
VRN  22.540 1.00 Pg
FIR  13.100 1.00 Sg
DMV  28.560 1.00 Sg
# 2011 01 01 14 32 18.100000 35.404 53.166   5.0  1.6 0.0 0.0 0.0         5
ANJ  11.140 1.00 Pg
DMV  18.030 1.00 Pg
FIR   7.320 1.00 Pg
LAS   2.570 1.00 Pg
SHM   7.450 1.00 Pg
VRN  22.320 1.00 Pg
FIR  12.820 1.00 Sg
# 2011 01 01 15 40 38.400000 35.349 53.159   5.0  1.5 0.0 0.0 0.0         6
FIR   8.200 1.00 Pg
LAS   3.220 1.00 Pg
SHM   8.550 1.00 Pg
FIR  13.920 1.00 Sg
# 2011 01 01 16 32 49.900000 35.386 53.160   3.0  1.6 0.0 0.0 0.0         7
ANJ  11.290 1.00 Pg
DMV  17.780 1.00 Pg
FIR   7.180 1.00 Pg
LAS   2.570 0.50 Pg
SHM   7.300 1.00 Pg
VRN  22.290 1.00 Pg
SHM  13.960 1.00 Sg
FIR  13.480 1.00 Sg
DMV  28.900 1.00 Sg
# 2011 01 01 18 54 20.900000 35.429 53.163  18.0  1.3 0.0 0.0 0.0         8
FIR   7.360 1.00 Pg
DMV  17.750 1.00 Pg
LAS   2.470 0.50 Pg
SHM   7.830 1.00 Pg
VRN  22.610 1.00 Pg
SHM  13.530 1.00 Sg
ANJ  11.560 1.00 Pg
# 2011 01 01 18 54 42.300000 35.414 53.165   5.0  1.5 0.0 0.0 0.0         9
ANJ  11.340 1.00 Pg
DMV  17.370 1.00 Pg
FIR   7.180 1.00 Pg
LAS   2.210 0.50 Pg
SHM   7.450 1.00 Pg
VRN  22.070 1.00 Pg
FIR  13.100 1.00 Sg
SHM  12.610 1.00 Sg
# 2011 01 02 02 22 52.200000 34.496 50.772   5.0  2.5 0.0 0.0 0.0        10
DMV  25.830 0.50 Pg
FIR  34.530 1.00 Pn
GZV  33.740 1.00 Pn
IL5  12.710 1.00 Pg
LAS  34.180 1.00 Pn
MHD  20.510 0.50 Pg
RAZ  20.160 1.00 Pg
SHM  41.190 1.00 Pn
VRN  16.570 1.00 Pg
IL5  22.970 1.00 Sg
RAZ  35.780 1.00 Sg
PIR  32.670 1.00 Pn
RAM  50.230 0.50 Pn
ZEF  35.930 1.00 Pn
DMV  46.410 1.00 Sg
# 2011 01 02 04 54 11.300000 36.648 49.706  10.0  1.5 0.0 0.0 0.0        11
GZV   9.330 1.00 Pg
