                        ORT     Lon     Lat     Dep  Mag Nus NuP NuS ADS MDS GAP   RMS     ERH     ERZ
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN NaN NaN NaN   NaN     NaN     NaN
2011-01-01T13:02:34.960000Z  53.156  35.885   9.850  1.4 168 168  22 NaN NaN NaN  0.22   1.295   1.252
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN NaN NaN NaN   NaN     NaN     NaN
2011-01-01T14:21:09.260000Z  53.160  35.389   4.687  2.3 135 135   8 NaN NaN NaN  0.24   1.379   1.085
2011-01-01T14:32:17.230000Z  53.173  35.388   1.615  1.6 109 109   4 NaN NaN NaN  0.20   1.383   1.362
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN NaN NaN NaN   NaN     NaN     NaN
2011-01-01T16:32:49.080000Z  53.167  35.395   2.679  1.6  73  73   8 NaN NaN NaN  0.25   1.587   1.536
2011-01-01T18:54:20.220000Z  53.155  35.382   3.183  1.3  62  62   0 NaN NaN NaN  0.18   1.157   1.158
2011-01-01T18:54:41.480000Z  53.152  35.389   4.856  1.5 118 118   7 NaN NaN NaN  0.20   1.783   1.869
2011-01-02T02:22:51.410000Z  50.786  34.536  11.498  2.5  48  48   3 NaN NaN NaN  0.30   2.875   2.259
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN NaN NaN NaN   NaN     NaN     NaN
2011-01-02T12:24:09.880000Z  52.833  35.374   6.865  1.7  66  66   8 NaN NaN NaN  0.22   1.740   2.192
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN NaN NaN NaN   NaN     NaN     NaN
2011-01-03T00:48:21.350000Z  53.306  35.916   8.689  2.8  61  61   9 NaN NaN NaN  0.19   1.387   1.381
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN NaN NaN NaN   NaN     NaN     NaN
2011-01-04T09:58:24.960000Z  50.180  35.337   4.343  2.0 187 187  55 NaN NaN NaN  0.18   1.451   1.439
2011-01-04T11:17:07.240000Z  50.176  35.336   5.754  1.5 188 188  55 NaN NaN NaN  0.16   1.416   1.328
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN NaN NaN NaN   NaN     NaN     NaN
2011-01-04T13:37:12.380000Z  52.006  35.762   5.547  1.4  75  75   8 NaN NaN NaN  0.22   1.760   1.923
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN NaN NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN NaN NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN NaN NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN NaN NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN NaN NaN NaN   NaN     NaN     NaN
2011-01-06T19:30:12.480000Z  51.967  34.720   8.985  1.8  14  14   0 NaN NaN NaN  0.62   8.488  13.958
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN NaN NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN NaN NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN NaN NaN NaN   NaN     NaN     NaN
2011-01-08T11:48:30.010000Z  51.083  36.603  10.532  2.5   6   6   0 NaN NaN NaN  0.03   0.537   1.107
2011-01-08T15:20:29.850000Z  52.492  35.297  18.448  1.6  25  25   0 NaN NaN NaN  0.15   1.567   2.608
