                        ORT     Lon     Lat     Dep  Mag Nus NuP NuS   ADS   MDS GAP RMS   ERH    ERZ
2015-01-01T04:33:22.800000Z  50.623  34.676   8.000  1.8   5   5   1  97.5  44.0 173 NaN   5.4  166.0
2015-01-01T05:21:24.900000Z  53.424  35.156  10.000  1.2   4   4   1  63.0  49.0 249 NaN   1.0   68.0
2015-01-01T08:34:52.600000Z  53.243  35.554  10.000  1.2   3   3   1  37.5  28.0 226 NaN   NaN    NaN
2015-01-01T11:58:27.500000Z  50.653  34.767  10.900  1.6   4   4   1  75.2  38.0 240 NaN   0.4   10.0
2015-01-01T12:35:11.400000Z  52.620  35.684  13.800  1.3   4   4   1  45.6  13.0 179 NaN   3.2   36.0
2015-01-02T04:56:21.500000Z  50.942  36.845  10.000  2.3   7   7   1 131.6  53.0 221 NaN   3.7   43.0
2015-01-02T13:08:03.900000Z  50.983  36.905  10.000  2.4   7   7   3 144.4  61.0 250 NaN   5.8   93.0
2015-01-02T18:49:26.300000Z  53.344  35.340  10.000  1.1   3   3   2  46.0  35.0 203 NaN   3.2  166.0
2015-01-02T19:21:13.800000Z  53.328  35.485  10.000  1.0   3   3   2  46.2  35.0 163 NaN 559.3  990.0
2015-01-02T20:13:12.300000Z  53.334  35.414  10.000  1.2   3   3   1  41.2  34.0 181 NaN   NaN    NaN
2015-01-03T03:13:36.100000Z  53.111  36.272  10.000  1.6   4   4   1  78.4  54.0 233 NaN  10.1  545.0
2015-01-03T06:55:58.100000Z  53.285  35.537  10.000  1.2   3   3   2  37.2  30.0 142 NaN   4.7  202.0
2015-01-03T09:54:00.700000Z  50.946  36.548  10.000  2.0   4   4   1  82.8  30.0 210 NaN  14.3  179.0
2015-01-03T11:57:52.200000Z  50.596  34.730  12.500  1.6   5   5   1 100.3  44.0 246 NaN  14.5 1456.0
2015-01-03T13:29:15.900000Z  50.140  35.375  12.000  1.7   7   7   0 125.3  19.0 136 NaN   7.2  141.0
2015-01-03T13:51:03.800000Z  51.827  35.627   4.000  1.3   5   5   1  94.8  19.0 261 NaN  15.1  159.0
2015-01-03T19:42:27.200000Z  49.283  36.484  10.000  1.5   5   5   1  74.8  10.0 170 NaN  20.0  236.0
2015-01-04T10:17:25.700000Z  52.372  35.399  10.000  1.5   6   6   1  70.7  37.0 141 NaN   2.8  193.0
2015-01-04T12:51:07.500000Z  50.513  37.205  27.300  2.9   8   6   1 140.3  87.0 279 NaN   8.8   49.0
2015-01-04T17:01:19.300000Z  53.446  36.123   8.000  3.2   1  30   1 260.4  38.0 121 NaN   2.3   31.0
2015-01-04T20:02:15.000000Z  50.820  36.774  10.000  2.3   8   8   0 152.9  41.0 214 NaN   7.7   73.0
2015-01-05T09:39:31.100000Z  53.212  35.530   8.700  1.4   4   4   0  41.5  28.0 138 NaN   NaN    NaN
2015-01-05T11:11:01.200000Z  53.177  35.689  10.000  1.5   3   3   1  35.5  16.0 152 NaN   NaN  990.0
2015-01-05T11:31:30.300000Z  53.422  35.662   6.000  2.1   7   7   1  88.1  20.0 118 NaN   3.8  104.0
2015-01-06T07:00:24.700000Z  53.276  35.547  10.000  1.4   4   4   0  42.2  29.0 139 NaN   NaN    NaN
2015-01-06T07:34:26.600000Z  53.228  35.542  10.000  1.2   4   4   0  41.8  30.0 136 NaN   NaN    NaN
2015-01-06T07:50:29.500000Z  53.240  35.558   5.000  1.2   4   4   0  41.8  28.0 133 NaN   0.5    NaN
2015-01-06T12:13:32.900000Z  53.149  35.569  10.000  1.3   5   5   1  48.5  27.0 120 NaN   2.9   88.0
2015-01-06T19:53:16.100000Z  53.009  35.880  10.000  2.5   6   6   2  67.9  26.0 164 NaN   1.1   55.0
2015-01-06T22:23:10.600000Z  52.637  35.626   8.000  1.9   7   6   1  66.7  11.0  97 NaN   2.1   30.0
2015-01-07T11:41:22.400000Z  51.850  35.693   6.000  1.7   3   3   1  65.8  21.0 266 NaN   NaN    NaN
2015-01-07T12:46:34.100000Z  53.139  35.702   5.000  1.4   5   5   0  53.4  17.0 146 NaN   2.1    NaN
2015-01-08T00:03:03.300000Z  53.785  37.324  10.000  2.6   8   6   1 169.6  91.0 226 NaN   8.7   76.0
2015-01-08T06:46:19.000000Z  53.298  35.528  10.000  1.4   3   3   0  39.0  31.0 244 NaN   NaN    NaN
2015-01-08T08:21:01.200000Z  51.499  35.686   7.200  1.7   6   6   1 106.7  34.0 187 NaN   3.7   60.0
2015-01-08T15:22:24.200000Z  53.162  35.944  11.000  1.8   4   4   1  51.0  19.0 193 NaN   2.3   23.0
2015-01-08T22:20:06.700000Z  53.355  35.324  10.000  1.4   3   3   1  52.2  36.0 287 NaN   NaN    NaN
2015-01-08T23:13:01.100000Z  52.464  35.824  12.000  2.3   8   8   1 107.0  33.0 216 NaN   9.7  106.0
2015-01-09T04:44:55.600000Z  53.732  36.254  10.000  1.5   3   3   1  52.8  29.0 159 NaN   NaN    NaN
2015-01-09T10:14:42.600000Z  50.553  34.271   8.000  2.1   0  10   1 154.0  79.0 166 NaN   3.8   58.0
2015-01-09T12:48:10.400000Z  49.014  37.104   8.000  2.8   9   8   1 180.0 134.0 168 NaN   6.6   88.0
2015-01-09T16:14:18.700000Z  53.160  34.441   8.000  1.9   8   8   1 145.7 106.0 155 NaN   3.5  195.0
2015-01-10T05:58:08.200000Z  51.726  36.619  10.000  1.9   4   4   1  99.8  69.0 229 NaN  23.9  990.0
2015-01-10T08:13:08.900000Z  53.262  35.559  10.000  1.2   4   4   1  39.4  28.0 135 NaN   3.2  134.0
2015-01-10T09:46:26.000000Z  53.228  35.556  10.000  1.1   4   4   0  41.5  28.0 133 NaN   NaN    NaN
2015-01-10T11:56:50.900000Z  50.598  36.059  10.000  1.6   4   4   2  53.5  42.0 165 NaN   3.6  284.0
2015-01-11T01:28:00.100000Z  49.778  35.660  10.000  1.3   4   4   0  61.5  18.0 133 NaN   NaN    NaN
2015-01-11T02:33:00.800000Z  49.806  35.674  10.000  1.8   4   4   0  61.0  21.0 121 NaN   NaN    NaN
2015-01-11T02:42:24.200000Z  50.848  34.537   7.100  2.8   5  14   0 153.4  39.0 110 NaN   3.7   55.0
