                        ORT     Lon     Lat     Dep  Mag Nus NuP NuS   ADS   MDS GAP   RMS     ERH     ERZ
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2018-01-02T22:59:28.280000Z  49.717  35.543   3.460  2.3   9   9   1 135.0  24.6 121  0.21   1.248   1.300
2018-01-03T00:29:45.490000Z  49.720  35.546   4.382  2.7   8   8   1 121.5  24.6  84  0.21   1.198   1.178
2018-01-03T19:48:55.440000Z  50.959  35.778  18.416  1.9   6   5   4  77.4  28.4  96  0.17   2.912   3.873
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2018-01-05T08:07:20.370000Z  50.202  35.349   2.767  2.2  13  13   0 150.0  25.6  88  0.33   1.851   1.693
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2018-01-07T21:25:28.800000Z  50.499  36.544  11.732  2.5   9   9   2 112.1  50.2  84  0.53  13.229  24.818
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2018-01-08T09:44:15.090000Z  52.728  36.550  23.997  1.8   8   8   0 101.4  48.9  78  0.09   0.518   1.158
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2018-01-10T00:15:44.290000Z  53.234  35.550  18.137  1.7   6   6   1  93.1  31.3 116  0.17   1.150   1.315
2018-01-10T03:48:43.240000Z  53.228  35.628  15.386  2.0   6   6   1  78.3  36.8 115  0.10   2.368   2.090
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2018-01-10T07:46:45.890000Z  52.312  35.388  22.613  2.8  11  11   0  92.1  32.9 140  0.17   1.160   1.847
2018-01-11T00:38:49.140000Z  52.102  36.422   7.889  2.4   8   8   0  92.2  29.1  88  0.24   1.749   3.090
2018-01-11T12:32:17.690000Z  50.353  34.122  12.626  2.0  10  10   1 142.1 103.1 177  0.33   2.586   2.756
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2018-01-11T13:21:30.130000Z  53.230  35.564  19.357  2.3   8   8   1  92.4  32.0 114  0.12   1.126   1.237
2018-01-11T17:17:06.720000Z  52.319  35.367  13.069  1.6   6   6   1  70.1  34.9  95  0.14   1.401   2.017
2018-01-11T21:29:21.880000Z  53.223  35.560  20.676  2.1   6   6   1  77.9  31.2 131  0.15   1.097   1.196
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2018-01-11T22:11:23.160000Z  53.225  35.544  18.552  1.8   5   5   1  79.6  30.2 135  0.18   1.163   1.332
2018-01-12T00:28:46.310000Z  53.232  35.561  18.940  1.9   5   5   1  79.7  31.9 131  0.15   1.187   1.269
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2018-01-12T12:16:13.180000Z  50.952  35.758  16.038  2.2  13  13   0 136.3  27.0  73  0.20   3.798   4.418
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2018-01-12T14:16:41.020000Z  53.570  36.292   5.226  1.7   7   7   1  98.7  33.0 116  0.22   2.804   2.373
2018-01-12T14:26:22.560000Z  53.226  35.548  21.057  1.9   8   7   1  93.2  30.6 116  0.14   1.101   1.171
2018-01-12T16:16:14.010000Z  53.232  35.598  19.481  1.7   6   6   0  94.7  34.6 110  0.11   1.300   1.329
2018-01-12T16:47:58.820000Z  53.231  35.565  18.361  1.5   6   6   2  93.4  32.1 114  0.13   1.131   1.309
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2018-01-12T19:58:47.340000Z  51.033  36.783   4.576  2.4  13  13   0 152.6  29.4  46  0.20   3.251   1.637
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2018-01-13T03:10:01.270000Z  50.969  36.749   4.800  1.8   9   9   0 116.0  26.8  48  0.20   3.180   1.791
2018-01-13T07:00:02.340000Z  53.147  35.897   7.277  2.4  11  11   0 132.8  36.7 154  0.19   1.393   1.983
2018-01-13T09:13:38.640000Z  50.920  35.684  18.586  2.0   8   8   1 100.7  22.9 101  0.16   1.689   3.473
2018-01-13T17:58:21.280000Z  53.701  35.855   8.155  2.3   7   7   0 105.1  47.1 146  0.33   2.275   5.421
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2018-01-14T14:32:36.180000Z  53.657  35.159   3.412  1.8   8   8   1 129.9  41.5 192  0.21   1.440   1.441
2018-01-14T15:39:38.860000Z  52.259  35.346  25.599  1.5   9   9   1 111.4  32.9  94  0.31   2.014   2.967
2018-01-14T23:02:43.440000Z  53.232  35.571  15.935  1.7   7   6   1  90.1  32.6 113  0.17   1.133   1.568
2018-01-14T23:11:12.960000Z  53.667  35.190  11.668  1.8   6   6   1 116.0  38.2 198  0.22   2.011   2.423
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2018-01-15T02:08:04.230000Z  53.838  35.120  16.913  3.2  24  24   0 181.0  39.2 216  0.27   1.975   2.525
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2018-01-15T02:27:50.620000Z  53.815  35.123  10.825  1.9   7   7   1 130.8  39.3 226  0.18   2.299   2.733
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2018-01-15T13:50:03.400000Z  52.651  35.772  13.588  4.2  63  63   4 169.5  37.4  46  0.27   5.333   5.664
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
2018-01-16T21:26:10.640000Z  53.243  35.914   1.683  1.1   6   6   1  81.2  43.3  78  0.15   2.309   3.295
2018-01-17T11:06:44.900000Z  49.840  34.982  14.384  2.0   7   7   3 119.6  47.6 157  0.29  26.682  36.907
2018-01-18T01:00:48.200000Z  51.868  35.170   6.486  1.9   9   9   1  89.6  23.3  82  0.12   0.888   2.050
2018-01-18T10:49:05.400000Z  51.870  35.170   8.110  2.4  10  10   0 101.7  23.4  82  0.10   0.912   1.817
2018-01-18T14:12:18.240000Z  52.795  35.882  10.161  1.6   6   6   2  82.2  22.3 161  0.00   2.674   1.898
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
                        NaN     NaN     NaN     NaN  NaN NaN NaN NaN   NaN   NaN NaN   NaN     NaN     NaN
