                        ORT     Lon     Lat     Dep  Mag Nus NuP NuS   ADS   MDS GAP RMS  ERH  ERZ
2021-01-01T07:30:01.800000Z  53.010  34.764   8.000  2.8  17  17   0 153.7  69.0 113 NaN None None
2021-01-04T16:56:49.400000Z  53.648  35.203  10.000  2.6  13  13   0 161.4  38.0 167 NaN None None
2021-01-05T08:56:59.800000Z  53.595  36.265   7.500  2.5   7   7   1 104.9  34.0 130 NaN None None
2021-01-10T22:38:53.800000Z  49.245  36.630   8.000  2.9  20  16   0 223.0  50.0 116 NaN None None
2021-01-14T11:20:39.500000Z  53.041  36.522  19.600  3.9  47  44   2 379.9  70.0 116 NaN None None
2021-01-14T18:10:58.500000Z  53.269  35.966   8.000  2.6   9   9   0 127.8  18.0 136 NaN None None
2021-01-17T02:39:04.900000Z  52.696  36.037   6.000  2.9   7   5   0  94.6  39.0 118 NaN None None
2021-01-19T06:00:12.400000Z  53.263  35.229   8.000  3.9  52  51   2 341.2  32.0  38 NaN None None
2021-01-21T08:00:00.000000Z  50.141  37.083   8.000  2.9   9   7   1 144.6  78.0 179 NaN None None
2021-01-22T03:08:40.700000Z  50.014  37.074  26.600  2.9  13  11   0 191.3  11.0 100 NaN None None
2021-01-25T15:58:53.600000Z  49.028  34.691  11.000  2.9  15  14   0 185.9  18.0  98 NaN None None
2021-01-25T16:49:12.800000Z  49.024  34.677   5.900  3.4  29  25   0 244.7  19.0  71 NaN None None
2021-01-29T16:58:36.700000Z  49.873  35.640  10.000  2.8  16  16   1 169.8  27.0  69 NaN None None
2021-01-30T16:42:32.800000Z  50.504  36.954  19.000  2.9   9   7   0 186.4  46.0 197 NaN None None
2021-02-06T04:31:19.700000Z  51.912  35.537  19.000  3.3  31  28   1 248.0  12.0  43 NaN None None
2021-02-07T23:50:30.100000Z  49.825  35.602   8.000  2.7  10   9   1 143.2  89.0 105 NaN None None
2021-02-10T19:48:21.400000Z  50.909  37.154  24.400  3.3  26  25   0 294.8  92.0 126 NaN None None
2021-02-12T10:43:22.300000Z  53.265  35.922   8.000  2.8  17  17   0 166.3  13.0 105 NaN None None
2021-02-18T08:41:36.700000Z  50.571  34.305   8.000  2.5  12  12   0 168.6  75.0 123 NaN None None
2021-02-22T19:36:15.700000Z  51.790  36.464  14.800  3.6  34  31   0 266.3  20.0 122 NaN None None
2021-02-25T18:52:38.300000Z  51.781  36.384  11.000  2.7  13  13   2 128.1  20.0 157 NaN None None
2021-02-26T00:49:47.700000Z  51.784  36.408   9.800  2.9  14  14   0 136.7  20.0 166 NaN None None
2021-02-26T10:41:09.900000Z  52.861  35.750   9.600  2.8  11  11   1  96.2  15.0  87 NaN None None
2021-02-27T22:34:18.400000Z  53.411  36.094   6.000  3.3  42  37   0 355.7  34.0  97 NaN None None
2021-03-02T19:26:52.900000Z  53.500  36.054  14.200  3.6  46  44   2 338.0  34.0  88 NaN None None
2021-03-02T20:06:10.900000Z  53.500  36.058  13.300  3.6  50  46   3 364.2  34.0  88 NaN None None
2021-03-03T01:43:39.300000Z  49.372  37.087  14.500  2.5  11  11   1 128.8  51.0 100 NaN None None
2021-03-05T13:31:06.700000Z  52.727  35.480  15.000  2.5  10  10   2 136.8  18.0 190 NaN None None
2021-03-06T09:28:34.900000Z  52.204  35.961  16.000  2.6  15  15   0 132.5   0.0  49 NaN None None
2021-03-08T11:24:49.400000Z  51.928  36.558  10.000  2.5  10   9   1 120.9  35.0 189 NaN None None
2021-03-11T13:53:15.300000Z  52.135  35.744  10.000  2.7  13  13   1  98.9  21.0  68 NaN None None
2021-03-12T16:52:07.000000Z  53.730  37.472  12.200  3.2  17  16   0 277.1 108.0 204 NaN None None
2021-03-14T20:48:31.900000Z  52.363  34.328  10.000  2.7  15  14   0 131.9  12.0  87 NaN None None
2021-03-18T23:42:23.200000Z  51.685  36.481  10.000  2.6  10  10   1 126.2  11.0 183 NaN None None
2021-03-19T19:57:36.500000Z  52.057  34.505  14.100  2.5  10  10   1 107.7  24.0 106 NaN None None
2021-03-20T05:54:16.000000Z  51.589  35.369  17.100  2.8   9   9   1  86.2  29.0  66 NaN None None
2021-03-20T06:36:33.200000Z  52.030  36.095   5.300  3.4  30  26   3 221.9  32.0 107 NaN None None
2021-03-25T13:06:03.200000Z  49.013  35.692  10.000  2.7   6   6   0  99.8  27.0  85 NaN None None
2021-03-26T07:11:21.500000Z  49.168  37.564  22.400  3.0  14  12   1 193.8  96.0 133 NaN None None
2021-03-27T21:11:18.300000Z  51.900  36.490   7.800  3.3  26  26   1 264.2  48.0 125 NaN None None
2021-03-29T20:21:37.700000Z  50.810  35.447  10.500  2.7  13  13   1 141.9  42.0 121 NaN None None
2021-03-30T09:50:04.100000Z  50.859  35.457   9.600  2.8  16  16   2 150.6  38.0 107 NaN None None
2021-03-31T01:24:57.800000Z  50.880  35.452   9.300  3.4  29  24   1 337.8  70.0 147 NaN None None
2021-04-01T20:48:45.900000Z  51.577  36.393  15.900  3.2  25  22   1 231.4   5.0  78 NaN None None
2021-04-02T16:33:33.900000Z  50.998  36.431   8.000  2.6  15  14   2 161.4  51.0 169 NaN None None
