code,lat,lon,elv,x,y,r,z
PRN,  36.242,  52.338,1333.000,  30.391,  26.894,  40.582,1333.000
DMV,  35.577,  52.032,2546.000,   2.928, -46.900,  46.992,2546.000
TEH,  35.752,  51.389,1458.000, -55.244, -27.356,  61.646,1458.000
TEHA,  35.746,  51.387,1418.000, -55.464, -27.965,  62.115,1418.000
MZPU,  36.440,  51.569,2023.000, -38.673,  48.882,  62.330,2023.000
ALA,  36.083,  52.810,2600.000,  72.947,   9.502,  73.562,2600.000
FIR,  35.642,  52.754,2380.000,  68.254, -39.515,  78.866,2380.000
HSB,  35.438,  51.276,1138.000, -65.758, -62.125,  90.462,1138.000
LAS,  35.380,  52.959,1452.000,  87.159, -68.311, 110.736,1452.000
VRN,  34.995,  51.727,1139.000, -24.907,-111.440, 114.186,1139.000
SHM,  35.806,  53.284,2633.000, 116.062, -20.730, 117.895,2633.000
QALM,  36.432,  50.646,2212.000,-121.373,  48.785, 130.805,2212.000
KIA,  36.207,  53.684,2167.000, 151.411,  24.280, 153.338,2167.000
QOM,  34.842,  51.063,1000.000, -85.719,-128.121, 154.144,1000.000
GZV,  36.386,  50.218,2458.000,-159.860,  44.288, 165.872,2458.000
GLO,  36.502,  53.831,1950.000, 164.030,  57.298, 173.739,1950.000
ANJ,  35.468,  53.915,1945.000, 173.792, -57.343, 182.995,1945.000
SFB,  34.352,  52.241, 995.000,  22.149,-182.832, 184.156, 995.000
LHJ2,  37.166,  50.062,  79.000,-172.180, 131.176, 216.435,  79.000
GIDE,  36.923,  49.826,1836.000,-193.735, 104.610, 220.152,1836.000
QABG,  35.708,  49.582,2085.000,-218.782, -29.644, 220.759,2085.000
KRSH,  33.969,  52.135,1630.000,  12.517,-225.302, 225.625,1630.000
QAMS,  33.736,  51.396,2245.000, -55.957,-251.028, 257.154,2245.000
QSDN,  36.504,  49.174,2148.000,-253.173,  59.573, 260.051,2148.000
HAGD,  34.822,  49.139,1831.000,-261.764,-126.908, 290.855,1831.000
KLH,  33.319,  51.578,2280.000, -39.335,-297.387, 299.921,2280.000
